Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-00588221-v,v,"إِسْتوْعب, أدرك, فهم",3,"grok, get the picture, comprehend, savvy, dig",get the meaning of something,en,,i24708,,,,
omw-arb-00689950-v,v,"اِعْتبر, ظنّ, نظر, أجل, احترم, ثمن, سمعة, شهرة, قدر, قوم",10,"think of, repute, regard as, look upon, look on",look on as or consider,en,,i25163,,,,
omw-arb-00034288-v,v,"عبس, كشّر, قطب, تجهّم, كشر, لوى قسمات وجهه لاضحاك الآخرين",6,"grimace, make a face, pull a face",contort the face to indicate a certain mental or emotional state,en,,i21937,,,,
omw-arb-02699941-v,v,"لاءم, ناسب",2,"befit, suit, beseem",accord or comport with,en,,i35154,,,,
omw-arb-01212572-v,v,"أمْسك, مسك, أسر, إحتل الموقع, استولى, اعتقل, انتهز, انكمش, تجعد, حجز, صادر, فهم فهما تاما, وضع يده على",13,"seize, prehend, clutch",take hold of; grab,en,,i27685,,,,
omw-arb-00724029-v,v,"دخل في ميزانية, وضع ميزانية, وَضَعَ رَصِيد مِيزَاَنِيَّة",3,budget,make a budget,en,,i25320,,,,
omw-arb-02052476-v,v,"مرّ, أعد, أقر ب, ألغى إعلان, أهمل, إجتاز بنجاح, إنتقل إلى, تبادل, تبرز, تجاوز, تخلى عن دوره في اللعب, تغاضى, تغوط, جهل, حدث, رحل, سير, شق طريقه, عبر, مر, مر الكرة للاعب آخر, مرر, نجح",23,"pass, make pass",cause to pass,en,,i32006,,,,
omw-arb-01339505-v,v,عرّى,1,"uncover, expose",remove all or part of one's clothes to show one's body,en,,i28387,,,,
omw-arb-02620213-v,v,"سقط, أخمد, أصبح, انهار, انهزم, تدلى, تدنى, تساقط, تلاشى, خر, سكن, سلسل, شرع بهمة و نشاط, ضم, هبط, وقع, ولد",17,fall,"die, as in battle or in a hunt",en,,i34775,,,,
omw-arb-00155869-v,v,"تكدّس, تراكم",2,accrue,grow by addition,en,,i22486,,,,
omw-arb-02604477-v,v,"تعايش, تواجد",2,coexist,exist together,en,,i34711,,,,
omw-arb-01627355-v,v,"أنْتج, أوْجد, أحدث, أنتج, ولد, وَلَّدَ, خَلَقَ",7,"generate, bring forth",bring into existence,en,,i29894,,,,
omw-arb-00158222-v,v,"إِرْتفع, إِزْداد, إنتصر, ارتفع, ازداد, تحصل, تقدم, حقق إنتصار, دفع سلفا, ربح, فاز, قدم, كسب, مقدما, نال, نجز",16,"advance, gain",rise in rate or price,en,,i22499,,,,
omw-arb-00744439-v,v,أعْلن,1,break,undergo breaking,en,,i25418,,,,
omw-arb-02735897-v,v,"ساعد, سهّل",2,"help, facilitate",be of use,en,,i35347,,,,
omw-arb-00626890-v,v,أمْلى على,1,dictate,say out loud for the purpose of recording,en,,i24884,,,,
omw-arb-01217043-v,v,"أمْسك, مسك, سند, أيد, تحمل, دعم, قوى",7,"hold, support, sustain, hold up",be the physical support of; carry the weight of,en,,i27707,,,,
omw-arb-00437449-v,v,"تخصّص, حدد, ضيق",3,"specialize, specialise, narrow, narrow down",become more focus on an area of activity or field of study,en,,i23914,,,,
omw-arb-00400101-v,v,أزال المغْناطِيْسِيّة,1,"demagnetize, demagnetise, degauss",make nonmagnetic; take away the magnetic properties (of),en,,i23731,,,,
omw-arb-00732552-v,v,"حافظ على, لاحظ, راقب, رصد, اعتصم, راعى",6,"observe, keep, maintain",stick to correctly or closely,en,,i25362,,,,
omw-arb-00142191-v,v,"شكّل, صاغ, مثّل, ألف, أنشأ, إتخذ شكلا, برز, تألف, تشكل, تطور, تقدم, تكوين, جسد, رتب, شكل, صاغ اللغة, غير, كون فكرة, كيف, نظم",20,"shape, form",give shape or form to,en,,i22428,,,,
omw-arb-00670261-v,v,"حكم, حكم على, حاكم, حكم قضائيا, فصل, كان رأيا",6,"evaluate, pass judgment, judge",form a critical opinion of,en,,i25074,,,,
omw-arb-02713184-v,v,"أشار, توجّه",2,"orient, point",be oriented,en,,i35228,,,,
omw-arb-01171183-v,v,"شرِب, اِحْتسى, سكر, شرب باسراف",4,"drink, booze, fuddle",consume alcohol,en,,i27471,,,,
omw-arb-00805376-v,v,"اِتّفق, تفاهم, أبقى, أقر, أمسك, إنسجم مع, إنطبق على, اتفق, احتفظ, احتوى, استمر, التقى, تزامن, تطابق, تعاون, توافق, توصل إلى تسوية, حبس النفس, حمل, دعم, سلم, شغل, صمد, عقد, قاوم, قبض على, كبت, كبح, لزم, مد يده, ملك, وافق, وَافَقَ",33,"agree, hold, concur, concord",be in accord; be in agreement,en,,i25696,,,,
omw-arb-02308741-v,v,"أعْطى, ساهم, تبرع",3,"contribute, give, chip in, kick in",contribute to some cause,en,,i33275,,,,
omw-arb-01325536-v,v,قتل,1,kill,"cause the death of, without intention",en,,i28310,,,,
omw-arb-01431987-v,v,"دغْدغ, خَرْبَشَ",2,tickle,touch or stroke lightly,en,,i28887,,,,
omw-arb-02677567-v,v,"أقْحم, أثر في, إنطوى على, استخدم, اقتضى, التزم, ربط, شارك, شمل, ورط, زَجَّ",11,involve,engage as a participant,en,,i35048,,,,
omw-arb-00264034-v,v,"ملأ, نفخ, انتفخ, تضخم, رفع, كتب بتكلف",6,"inflate, blow up",fill with gas or air,en,,i23037,,,,
omw-arb-01283208-v,v,"غلّف, لفّ",2,"wrap, wrap up",arrange or fold as a cover or protection,en,,i28083,,,,
omw-arb-00458471-v,v,"حمُض, فسد, أثار, تخمر, حول, خمر",6,"sour, turn, ferment, work",go sour or spoil,en,,i24013,,,,
omw-arb-02730471-v,v,"بدا, أحس, أدرك, أمن, بدا عند اللمس, تلمس, جس, حس, شعر, شم, مس, وعى",12,feel,be felt or perceived in a certain way,en,,i35317,,,,
omw-arb-01588493-v,v,"علّم, لصق بطاقة, ميز, وسم, وَسََمَ",5,"tag, label, mark",attach a tag or label to,en,,i29672,,,,
