Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-03003744-a,a,إِيرْلنْدِي,1,Irish,of or relating to or characteristic of Ireland or its people,en,,i17165,,,,
omw-arb-00872195-a,a,ماصّ لِلْطّاقة,1,"endoergic, energy-absorbing",(of a nuclear reaction) occurring with absorption of energy,en,,i4785,,,,
omw-arb-03008013-a,a,"سِمْبتاوِيّ, وُدَّيّ",2,sympathetic,of or relating to the sympathetic nervous system,en,,i17193,,,,
omw-arb-00571643-a,a,فاقِد الوعِي,1,unconscious,not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead,en,,i3186,,,,
omw-arb-00633410-a,a,صادِق,1,"right, correct",correct in opinion or judgment,en,,i3521,,,,
omw-arb-02862444-a,a,"ذرِّيّ, نووِيّ",2,nuclear,of or relating to or constituting the nucleus of an atom,en,,i16264,,,,
omw-arb-02952622-a,a,برُتِسْتانْتِي,1,Protestant,of or relating to Protestants or Protestantism,en,,i16839,,,,
omw-arb-01580050-a,a,"أساسِي, ضرُورِي, فرِض, لازِم, مُهِم, مُتطلّب, وَاجِب",7,necessary,absolutely essential,en,,i8662,,,,
omw-arb-00664449-a,a,فُضُولِيّ,1,curious,eager to investigate and learn or learn more (sometimes about others' concerns),en,,i3695,,,,
omw-arb-01763813-a,a,وِقَائِي,1,"preventive, preventative",tending to prevent or hinder,en,,i9681,,,,
omw-arb-02769933-a,a,عددِيّ,1,"numeral, numerical, numeric",of or relating to or denoting numbers,en,,i15644,,,,
omw-arb-01679055-a,a,عُضْوِي,1,organic,relating or belonging to the class of chemical compounds having a carbon basis,en,,i9198,,,,
omw-arb-01395330-a,a,"أضْخم, أعْظم",2,greater,greater in size or importance or degree,en,,i7603,,,,
omw-arb-02842445-a,a,"لِسانِيّ, لُغوِيّ",2,"linguistic, lingual",consisting of or related to language,en,,i16136,,,,
omw-arb-02884085-a,a,أبوِيّ,1,parental,designating the generation of organisms from which hybrid offspring are produced,en,,i16403,,,,
omw-arb-02836626-a,a,"شُعاعِيّ, إِشْعاعِيّ",2,radial,issuing in rays from a common center; relating to rays of light,en,,i16095,,,,
omw-arb-00417413-a,a,"طاهِر, نظِيف",2,clean,free from dirt or impurities; or having clean habits,en,,i2367,,,,
omw-arb-01646941-a,a,"شاب, حدث, ناشِئ, يَافِع",4,"young, immature",(used of living things especially persons) in an early period of life or development or growth,en,,i9017,,,,
omw-arb-03014166-a,a,"يَرَقَانِيّ, يَرَقِيّ",2,larval,relating to or typical of a larva,en,,i17242,,,,
omw-arb-01424868-a,a,غيْر مُلقّم,1,unloaded,(of weapons) not charged with ammunition,en,,i7780,,,,
omw-arb-01089136-a,a,"دوام كامِل, تفرُّغ تام",2,full-time,for the entire time appropriate to an activity,en,,i5983,,,,
omw-arb-00715140-a,a,دِيْمُقْراطِي,1,democratic,characterized by or advocating or based upon the principles of democracy or social equality,en,,i3967,,,,
omw-arb-00342250-a,a,"مُعْتمد, مُجاز, قانُونِيّ",3,certified,endorsed authoritatively as having met certain requirements,en,,i1897,,,,
omw-arb-01821266-a,a,"جائِز, مُحْتمل, مُمْكِن",3,possible,capable of happening or existing,en,,i10007,,,,
omw-arb-02985474-a,a,حجْمِيّ,1,"volumetric, volumetrical",of or relating to measurement by volume,en,,i17044,,,,
omw-arb-00001740-a,a,قادِر,1,able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,en,,i1,,,,
omw-arb-01400562-a,a,قانُونِي,1,legal,established by or founded upon law or official or accepted rules,en,,i7638,,,,
omw-arb-02832678-a,a,فُطْرِيّ,1,"fungal, fungous",of or relating to fungi,en,,i16069,,,,
omw-arb-02991122-a,a,فنِّيّ,1,artistic,relating to or characteristic of art or artists,en,,i17080,,,,
