ID,Type,Arabic_Words,Issues
omw-arb-00473572-v,Synset,"شحذ, حسّن, هذّب",No Arabic definition; No examples
omw-arb-02270815-v,Synset,"شحذ, اِسْتعْطى, اِسْتجْدى",No Arabic definition; No examples
omw-arb-00782057-v,Synset,"شحد, توسّل",No Arabic definition; No examples
omw-arb-00518115-v,Synset,"شحن, أثقل, أشبع",No Arabic definition; No examples
omw-arb-01950798-v,Synset,"شحن, أرْسل, بعث",No Arabic definition; No examples
omw-arb-00103619-v,Synset,"شحِب, اِصْفرّ, أصبح شاحب",No Arabic definition; No examples
omw-arb-14864360-n,Synset,"شحْم, دُهْن",No Arabic definition; No examples
omw-arb-14938907-n,Synset,"شحْم, دُهْن",No Arabic definition; No examples
omw-arb-14890659-n,Synset,"شحْم التزْلِيق, مُشحِّم, مُزلِّق",No Arabic definition; No examples
omw-arb-00061290-n,Synset,"شحْن, إِرْسال",No Arabic definition; No examples
omw-arb-01105259-n,Synset,"شحْن, نقْل",No Arabic definition; No examples
omw-arb-02964389-n,Synset,"شحْنة, حِمْل, حُمُولة",No Arabic definition; No examples
omw-arb-00800750-v,Synset,"شطب, حذف",No Arabic definition; No examples
omw-arb-00036362-v,Synset,"شطف, إِغْتسل, غسل",No Arabic definition; No examples
omw-arb-01536168-v,Synset,"شطف, غسل, أحاط",No Arabic definition; No examples
omw-arb-00397760-n,Synset,"شطْب, حذْف, مسْح",No Arabic definition; No examples
omw-arb-00394610-n,Synset,"شطْب, حذْف, محْو",No Arabic definition; No examples
omw-arb-00232604-n,Synset,"شطْب, حذْف, ",No Arabic definition; No examples
omw-arb-03892891-n,Synset,"شطْر, جُزْء",No Arabic definition; No examples
omw-arb-00503237-n,Synset,"شطْرنْج, شِطْرنْج, لُعْبة الشّطْرنْج",No Arabic definition; No examples
omw-arb-04709253-n,Synset,"شظف, عناء, عُسْر",No Arabic definition; No examples
omw-arb-04710127-n,Synset,"شظف, شِدّة, حِدّة",No Arabic definition; No examples
omw-arb-01259458-v,Synset,"شظّى, ثلّم",No Arabic definition; No examples
omw-arb-07944050-n,Synset,"شباب, شبِيبة, صِغار السِنّ",No Arabic definition; No examples
omw-arb-15266034-n,Synset,"شباب, صِبا, ريعان الشباب",No Arabic definition; No examples
omw-arb-09545976-n,Synset,شبح,No Arabic definition; No examples
omw-arb-04744814-n,Synset,"شبه, مِثْل, مُشابهة",No Arabic definition; No examples
omw-arb-04743605-n,Synset,"شبه, مِثْل, مُشابهة",No Arabic definition; No examples
omw-arb-03819595-n,Synset,شبكة,No Arabic definition; No examples
omw-arb-07489714-n,Synset,"شبق, رغْبة, توْق",No Arabic definition; No examples
omw-arb-07487955-n,Synset,"شبق, شهْوة جِنْسِيّة, رغْبة جِنْسِيّة",No Arabic definition; No examples
omw-arb-01438720-n,Synset,"شببُّوطِيّات, الشّبُوطِيّات, عائِلة الشّبُوطِيّات",No Arabic definition; No examples
omw-arb-01188342-v,Synset,"شبِع, اِمْتلأ",No Arabic definition; No examples
omw-arb-02611112-a,Synset,"شبِيه بِالطحْلب, طحْلبانِي",No Arabic definition; No examples
omw-arb-00254527-r,Synset,"شبِيه بِالموْت, مُمِيت",No Arabic definition; No examples
omw-arb-02785757-a,Synset,"شبِيْه بالبروتين, برُتِيْنِي",No Arabic definition; No examples
omw-arb-01510827-v,Synset,"شبّك, شغّل, أشْغل",No Arabic definition; No examples
omw-arb-01528069-v,Synset,"شدّ, ضغط, غرز",No Arabic definition; No examples
omw-arb-01190683-a,Synset,"شدِيد, ضخْم, ثقِيل",No Arabic definition; No examples
omw-arb-01509527-a,Synset,شدِيد,No Arabic definition; No examples
omw-arb-00114431-n,Synset,"شدّ, جذْب, جرّ",No Arabic definition; No examples
omw-arb-11515051-n,Synset,"شدّ, توتُّر",No Arabic definition; No examples
omw-arb-00071803-v,Synset,"شدّ, مزّق",No Arabic definition; No examples
omw-arb-00318816-v,Synset,"شدّ, بسط, مطّ",No Arabic definition; No examples
omw-arb-00420132-v,Synset,"شدّ, ربط, تحمل",No Arabic definition; No examples
omw-arb-01013367-v,Synset,"شدّد, أكّد, علّم",No Arabic definition; No examples
omw-arb-01240210-n,Synset,"شفاعة, تشفُّع, تشفُّع لِـ",No Arabic definition; No examples
omw-arb-02823920-a,Synset,"شفهِي, كلامِي, لفْظِي",No Arabic definition; No examples
omw-arb-00128456-r,Synset,"شفهِيّا, حرْفِيّا, لفْظِيّا",No Arabic definition; No examples
omw-arb-05305806-n,Synset,شفة,No Arabic definition; No examples
omw-arb-14423740-n,Synset,شفق,No Arabic definition; No examples
omw-arb-00034574-n,Synset,"شفقة, لِين, لُطْف",No Arabic definition; No examples
omw-arb-07553741-n,Synset,"شفقة, إشْفاق",No Arabic definition; No examples
omw-arb-01227495-n,Synset,"شفقة, رأْفة, رحْمة",No Arabic definition; No examples
omw-arb-01071411-n,Synset,"شفقة, إِشْفاق, عطْف",No Arabic definition; No examples
omw-arb-02848216-n,Synset,"شفْرة, شفْرة المُدْية, نصْلة",No Arabic definition; No examples
omw-arb-00994076-v,Synset,"شفّر, رمّز, حظيرة",No Arabic definition; No examples
omw-arb-00553823-n,Synset,"شغب, إِضْطِراب, إِرْتِجاف",No Arabic definition; No examples
omw-arb-13977043-n,Synset,"شغب, إِخْلال",No Arabic definition; No examples
omw-arb-05682950-n,Synset,"شغف, رغْبة",No Arabic definition; No examples
omw-arb-00600370-v,Synset,"شغل, اِنْهمك, اِسْتحْوذ",No Arabic definition; No examples
omw-arb-00601043-v,Synset,"شغل, اِنْشغل, اِنْغمر",No Arabic definition; No examples
omw-arb-02415831-v,Synset,"شغل, شغل نفْسه, أشْغل",No Arabic definition; No examples
omw-arb-02649830-v,Synset,"شغل, أقام, عاش",No Arabic definition; No examples
omw-arb-00100551-v,Synset,"شغّل, درّب",No Arabic definition; No examples
omw-arb-02240151-v,Synset,"شغّل, اِسْتخْدم, جنّد",No Arabic definition; No examples
omw-arb-02443849-v,Synset,"شغّل, أدار, ترأّس",No Arabic definition; No examples
omw-arb-01857717-v,Synset,شغّل,No Arabic definition; No examples
omw-arb-01224744-v,Synset,"شغّل, ضبط",No Arabic definition; No examples
omw-arb-01510173-v,Synset,شغّل,No Arabic definition; No examples
omw-arb-01211699-v,Synset,"شغّل, حرّك, أثر في",No Arabic definition; No examples
omw-arb-01510399-v,Synset,"شغّل, فتح",No Arabic definition; No examples
omw-arb-02407987-v,Synset,"شغّل, أثار, أحرز مكانة",No Arabic definition; No examples
omw-arb-02240319-v,Synset,"شغّل, اِسْتخْدم, وَظَّفَ",No Arabic definition; No examples
omw-arb-06697331-n,Synset,"شهادة, شهادة عِلْمِيّة, درجة",No Arabic definition; No examples
omw-arb-01014821-v,Synset,شهِد,No Arabic definition; No examples
omw-arb-01015244-v,Synset,"شهِد, أثْبت, برْهن",No Arabic definition; No examples
omw-arb-10296832-n,Synset,شهِيد,No Arabic definition; No examples
omw-arb-15206296-n,Synset,شهْر,No Arabic definition; No examples
omw-arb-15209413-n,Synset,"شهْر, شهْر مِيلادِيّ, شهْر شمْسِيّ",No Arabic definition; No examples
omw-arb-15213115-n,Synset,"شهْر التُمور - في ليبيا, أكْتُوبر, تشْرِين أول",No Arabic definition; No examples
omw-arb-15207872-n,Synset,شهْر قمرِيّ,No Arabic definition; No examples
omw-arb-15209706-n,Synset,شهْر غريغوري,No Arabic definition; No examples
omw-arb-07526182-n,Synset,شجاعة,No Arabic definition; No examples
omw-arb-00841580-v,Synset,"شجب, اِسْتنْكر, ندّد",No Arabic definition; No examples
omw-arb-13989051-n,Synset,"شجن, أسى, اِبْتِئاس",No Arabic definition; No examples
omw-arb-13104059-n,Synset,شجرة,No Arabic definition; No examples
omw-arb-12246232-n,Synset,"شجرة التُّوت, تُوت",No Arabic definition; No examples
omw-arb-01797347-v,Synset,"شجِن, أسِي, اِبْتأس",No Arabic definition; No examples
omw-arb-02554922-v,Synset,"شجّع, روّج, دعم",No Arabic definition; No examples
omw-arb-00771341-v,Synset,"شجّع, حث, دعم",No Arabic definition; No examples
omw-arb-01818235-v,Synset,"شجّع, حمّس, ساند",No Arabic definition; No examples
omw-arb-00802318-v,Synset,"شجّع, أذِن, أجاز",No Arabic definition; No examples
omw-arb-00907147-v,Synset,"شكى, اِشْتكى, تذمّر",No Arabic definition; No examples
omw-arb-00892315-v,Synset,"شكر, حمد, تشكّر",No Arabic definition; No examples
omw-arb-02546467-v,Synset,"شكر, اِعْترف بِـ, قدّر",No Arabic definition; No examples
omw-arb-01659248-v,Synset,"شكّل, كوّن, أثار",No Arabic definition; No examples
omw-arb-01256374-v,Synset,"شكّل بِقالب الطّرْق, شكّل بِالتّطْرِيق, أبطل",No Arabic definition; No examples
omw-arb-01647229-v,Synset,"شكّل, أنْشأ, أقام",No Arabic definition; No examples
omw-arb-02844714-n,Synset,شكِيمة,No Arabic definition; No examples
omw-arb-13863186-n,Synset,"شكل مُسْتوٍ, شكْل ثُنائِيّ البُعْد",No Arabic definition; No examples
omw-arb-00027807-n,Synset,"شكْل, صُورة, هيْئة",No Arabic definition; No examples
omw-arb-13862780-n,Synset,شكْل,No Arabic definition; No examples
omw-arb-04677514-n,Synset,"شكْل, صُورة, مظْهر",No Arabic definition; No examples
omw-arb-05064037-n,Synset,"شكْل, صُورة, هيْئة",No Arabic definition; No examples
omw-arb-05839024-n,Synset,"شكْل, ضرْب, صِنْف",No Arabic definition; No examples
omw-arb-05930736-n,Synset,"شكْل, صُورة, نمط",No Arabic definition; No examples
omw-arb-04930478-n,Synset,"شكْل, صُورة",No Arabic definition; No examples
omw-arb-03335600-n,Synset,"شكْل, شكْل بشرِيّ, شكْل جِسْمانِي",No Arabic definition; No examples
omw-arb-04677952-n,Synset,"شكْل, صِباغ, برِيق",No Arabic definition; No examples
omw-arb-03815278-n,Synset,شكْل الياقة,No Arabic definition; No examples
omw-arb-13867492-n,Synset,"شكْل عشْوائِي, شكْل غيْر مُنظّم",No Arabic definition; No examples
omw-arb-13862282-n,Synset,شكْل طبِيعِيّ,No Arabic definition; No examples
omw-arb-13863602-n,Synset,شكْل فرْعِيّ,No Arabic definition; No examples
omw-arb-13865483-n,Synset,شكْل دائِرِيّ,No Arabic definition; No examples
omw-arb-13914837-n,Synset,"شكْل هرمِيّ, هرم",No Arabic definition; No examples
omw-arb-13867276-n,Synset,"شكْل مُشوّه, تشْوِيْه",No Arabic definition; No examples
omw-arb-13866144-n,Synset,"شكْل مُضلّع, مُضلّع",No Arabic definition; No examples
omw-arb-13864153-n,Synset,"شكْل مُحدّب, تحدُّب",No Arabic definition; No examples
omw-arb-13863473-n,Synset,"شكْل مُجسّم, شكْل ثُلاثِيّ الأبْعاد",No Arabic definition; No examples
omw-arb-13867641-n,Synset,"شكْل مُنْحنِي, مُنْحنى",No Arabic definition; No examples
omw-arb-13864965-n,Synset,"شكْل مُقعّر, إِلْتِواء نحْو الدّاخِل, تقعُّر",No Arabic definition; No examples
omw-arb-13873361-n,Synset,"شكْل مُسْتطِيل, مُسْتطِيل",No Arabic definition; No examples
omw-arb-13864763-n,Synset,"شكْل زاوِيّ, الزّاوِيّة",No Arabic definition; No examples
omw-arb-02936410-a,Synset,"شكْلِيّ, صٍيغِيّ",No Arabic definition; No examples
omw-arb-14055408-n,Synset,"شكْوى, عِلّة, مرض",No Arabic definition; No examples
omw-arb-07208708-n,Synset,شكْوى,No Arabic definition; No examples
omw-arb-01182654-n,Synset,"شكْوى, اِدِّعاء, دعْوى",No Arabic definition; No examples
omw-arb-05698247-n,Synset,"شكّ, إرْتِياب, ريْب",No Arabic definition; No examples
omw-arb-00687295-v,Synset,"شكّ, اِرْتاب, تشكّك",No Arabic definition; No examples
omw-arb-00142191-v,Synset,"شكّل, صاغ, مثّل",No Arabic definition; No examples
omw-arb-02621395-v,Synset,"شكّل, ألّف, ألف",No Arabic definition; No examples
omw-arb-01668603-v,Synset,"شكّل, عالج, عمِل",No Arabic definition; No examples
omw-arb-01675245-v,Synset,"شكّل, صاغ, طرق",No Arabic definition; No examples
omw-arb-01697027-v,Synset,"شكّل, صاغ, جسّم",No Arabic definition; No examples
omw-arb-02621244-v,Synset,"شكّل, كوّن",No Arabic definition; No examples
omw-arb-00701040-v,Synset,"شكّل, أعْطى شكْلاً لـ, أثّر فِي",No Arabic definition; No examples
omw-arb-02448185-v,Synset,"شكّل, ألّف, أنْشأ",No Arabic definition; No examples
omw-arb-00436404-v,Synset,"شكّل, نوّع, تفرّع",No Arabic definition; No examples
omw-arb-02664575-v,Synset,شكّل أساس,No Arabic definition; No examples
omw-arb-00091647-v,Synset,"شلّ, أصاب بِعرج, أقْعد",No Arabic definition; No examples
omw-arb-01207149-v,Synset,"شلّ حركة, أمْسك, أوْقف",No Arabic definition; No examples
omw-arb-00244043-r,Synset,"شمالاً, إِلى الشّمال, بِاتِّجاه الشّمال",No Arabic definition; No examples
omw-arb-13831176-n,Synset,"شمال, جِهة الشّمال",No Arabic definition; No examples
omw-arb-13831441-n,Synset,"شمال, شمال مغْناطِيْسِي",No Arabic definition; No examples
omw-arb-01605753-a,Synset,شمالِي,No Arabic definition; No examples
omw-arb-01600333-a,Synset,شمالِيّ,No Arabic definition; No examples
omw-arb-02636132-v,Synset,"شمل, شمِل, اِنْطوى",No Arabic definition; No examples
omw-arb-02632940-v,Synset,"شمِل, اشتمل, تضمن",No Arabic definition; No examples
omw-arb-02629535-v,Synset,"شمِل, اِحْتوى, ضمّ",No Arabic definition; No examples
omw-arb-13641534-n,Synset,"شمْعة-قدم, شمْعة, قنْدِيلة",No Arabic definition; No examples
omw-arb-01014066-n,Synset,"شمْل, جمْع, مجْمُوْعة",No Arabic definition; No examples
omw-arb-09450163-n,Synset,شمْس,No Arabic definition; No examples
omw-arb-11485367-n,Synset,"شمْس, أشِعّة الشّمْس, ضُوء الشمْس",No Arabic definition; No examples
omw-arb-00882961-n,Synset,شمّ,No Arabic definition; No examples
omw-arb-00883139-n,Synset,"شمّ, تنشُّق",No Arabic definition; No examples
omw-arb-05713737-n,Synset,"شمّ, حاسّة الشمّ",No Arabic definition; No examples
omw-arb-02125223-v,Synset,"شمّ, شم",No Arabic definition; No examples
omw-arb-02124748-v,Synset,"شمّ, اِشْتمّ, تنشّق",No Arabic definition; No examples
omw-arb-02770629-a,Synset,"شمّيّ, خَاص بالشَمّ",No Arabic definition; No examples
omw-arb-00746033-n,Synset,"شناعة, فاْحِشة, فداحة",No Arabic definition; No examples
omw-arb-00424767-n,Synset,"شناعة, عمل برْبرِي, عمل وحْشِي",No Arabic definition; No examples
omw-arb-14439447-n,Synset,"شنار, ذُلّ, عار",No Arabic definition; No examples
omw-arb-02485451-v,Synset,شنق,No Arabic definition; No examples
omw-arb-01649124-v,Synset,"شنّ, أطْلق, بدأ",No Arabic definition; No examples
omw-arb-02376089-v,Synset,"شنّ, إستخدم عاملا, استأجر",No Arabic definition; No examples
omw-arb-01093172-v,Synset,"شنّ حرْبا, حارب, صارع",No Arabic definition; No examples
omw-arb-01093465-v,Synset,شنّ حرْبا,No Arabic definition; No examples
omw-arb-00862683-v,Synset,"شنّ هُجُوماً, أغار على, هاجم",No Arabic definition; No examples
omw-arb-09876454-n,Synset,"شقِيق, أخّ",No Arabic definition; No examples
omw-arb-10595164-n,Synset,"شقِيق, شقِيقة, أخ",No Arabic definition; No examples
omw-arb-10602985-n,Synset,"شقِيقة, أخْت",No Arabic definition; No examples
omw-arb-10084181-n,Synset,"شقِيقة, أخْت",No Arabic definition; No examples
omw-arb-09831962-n,Synset,"شقِيّ, شخْص سيّء, شِرِّير",No Arabic definition; No examples
omw-arb-07379409-n,Synset,شقْشقة,No Arabic definition; No examples
omw-arb-00387657-n,Synset,شقّ,No Arabic definition; No examples
omw-arb-04243370-n,Synset,"شقّ, شِقّ, فُتْحة",No Arabic definition; No examples
omw-arb-04241940-n,Synset,"شقّ, شِقّ, فُتْحة",No Arabic definition; No examples
omw-arb-01555742-v,Synset,"شقّ, حزّ, بضع",No Arabic definition; No examples
omw-arb-02726305-n,Synset,شقّة,No Arabic definition; No examples
omw-arb-07884567-n,Synset,"شراب, كُحُول, مُسْكِر",No Arabic definition; No examples
omw-arb-00843128-n,Synset,"شراب, شُرْب, إِحْتِساء",No Arabic definition; No examples
omw-arb-07881800-n,Synset,"شراب, شُرْب, مشْرُوب",No Arabic definition; No examples
omw-arb-07901587-n,Synset,"شراب كُحُولِي, مشْرُوب رُوحِي, خَمْر",No Arabic definition; No examples
omw-arb-07886572-n,Synset,شراب مُخمّر,No Arabic definition; No examples
omw-arb-07654438-n,Synset,شرائِح مُبرّدة,No Arabic definition; No examples
omw-arb-00348746-v,Synset,"شرع, اِبْتدأ, بادر",No Arabic definition; No examples
omw-arb-00345761-v,Synset,"شرع, بدأ, استهل",No Arabic definition; No examples
omw-arb-02439281-v,Synset,"شرع, بدأ, بدأ بِالتعامُل مع",No Arabic definition; No examples
omw-arb-02466670-v,Synset,"شرع, شرّع, اِسْتنّ",No Arabic definition; No examples
omw-arb-01650610-v,Synset,"شرع بِـ, اِسْتهلّ, باشر",No Arabic definition; No examples
omw-arb-01651293-v,Synset,"شرع فِي, أقْدم على, باشر",No Arabic definition; No examples
omw-arb-00939277-v,Synset,"شرح, أوْضح, فسر",No Arabic definition; No examples
omw-arb-02635033-v,Synset,"شرح, علّل, فسّر",No Arabic definition; No examples
omw-arb-00955601-v,Synset,"شرح, فسّر, أسهب",No Arabic definition; No examples
omw-arb-01001294-v,Synset,"شرح, بيّن, بسط",No Arabic definition; No examples
omw-arb-00939857-v,Synset,"شرح, أوْضح, بيّن",No Arabic definition; No examples
omw-arb-02075462-v,Synset,"شرد, فرّ, هرب",No Arabic definition; No examples
omw-arb-01881180-v,Synset,"شرد, طاف, هام",No Arabic definition; No examples
omw-arb-14432032-n,Synset,"شرف, عظمة, نبالة",No Arabic definition; No examples
omw-arb-14436875-n,Synset,"شرف, عِزّ, حسب",No Arabic definition; No examples
omw-arb-04814238-n,Synset,"شرف, ذكاء, أُبّهة",No Arabic definition; No examples
omw-arb-04474466-n,Synset,"شرك, مِصْيدة",No Arabic definition; No examples
omw-arb-05339047-n,Synset,شريان شُعبِي,No Arabic definition; No examples
omw-arb-05353819-n,Synset,شريان رِئوِي,No Arabic definition; No examples
omw-arb-01540844-v,Synset,"شرِب, اِمْتصّ, سحب",No Arabic definition; No examples
omw-arb-01170052-v,Synset,"شرِب, أنفق على الشراب, استوعب",No Arabic definition; No examples
omw-arb-01171183-v,Synset,"شرِب, اِحْتسى, سكر",No Arabic definition; No examples
omw-arb-01198101-v,Synset,"شرِب السٍّيجارة, دخّن, إنبعث الدخان",No Arabic definition; No examples
omw-arb-07654667-n,Synset,"شرِيحة, قِطْعة",No Arabic definition; No examples
omw-arb-09437241-n,Synset,شرِيحة,No Arabic definition; No examples
omw-arb-04339291-n,Synset,شرِيط,No Arabic definition; No examples
omw-arb-04391569-n,Synset,شرِيط,No Arabic definition; No examples
omw-arb-09449510-n,Synset,شرِيط,No Arabic definition; No examples
omw-arb-09452653-n,Synset,"شرِيط, حِزام, غيْط",No Arabic definition; No examples
omw-arb-03068181-n,Synset,"شرِيط الرقبة, قبّة الثوْب, يَاقَة",No Arabic definition; No examples
omw-arb-07948314-n,Synset,شرِيد,No Arabic definition; No examples
omw-arb-10640620-n,Synset,"شرِيك حياة, شرِيكة حياة, حلِيل",No Arabic definition; No examples
omw-arb-01195584-n,Synset,شرْعِية,No Arabic definition; No examples
omw-arb-04809453-n,Synset,شرْعِيّة,No Arabic definition; No examples
omw-arb-04783247-n,Synset,"شرْعِيّة, صِحّة, مشْرُوعِيّة",No Arabic definition; No examples
omw-arb-04809237-n,Synset,"شرْعِيّة, مشْرُوعِيّة",No Arabic definition; No examples
omw-arb-05793000-n,Synset,"شرْح, تعْلِيل, تفْسِير",No Arabic definition; No examples
omw-arb-05822746-n,Synset,"شرْط, اِعْتِبار, مُراعاة",No Arabic definition; No examples
omw-arb-05892427-n,Synset,"شرْط, ضرُورة, مطْلب",No Arabic definition; No examples
omw-arb-04717139-n,Synset,"شرْط, مُؤهِّل",No Arabic definition; No examples
omw-arb-13832355-n,Synset,"شرْق, جِهة الشّرْق",No Arabic definition; No examples
omw-arb-00823350-a,Synset,"شرْقِيّ, مشْرِقِي",No Arabic definition; No examples
omw-arb-00745637-n,Synset,"شرّ, إِسآءة, إِثْم",No Arabic definition; No examples
omw-arb-14563564-n,Synset,"شرّ, لُؤم, نذالة",No Arabic definition; No examples
omw-arb-00715868-v,Synset,"شرّع, حكم, أصدر حكما",No Arabic definition; No examples
omw-arb-00643473-v,Synset,"شرّح, حلّل, درس",No Arabic definition; No examples
omw-arb-00497705-v,Synset,"شرّب, أشْبع, أخْصب",No Arabic definition; No examples
omw-arb-01567275-v,Synset,"شتل, غرس, أجبر العظم",No Arabic definition; No examples
omw-arb-00865387-v,Synset,"شتم, جدّف, لعن",No Arabic definition; No examples
omw-arb-00866314-v,Synset,"شتم, دعا على, لعن",No Arabic definition; No examples
omw-arb-00848420-v,Synset,"شتم, أهان, حقّر",No Arabic definition; No examples
omw-arb-00865958-v,Synset,"شتم, جدف, لعن",No Arabic definition; No examples
omw-arb-00845299-v,Synset,"شتم, صاح فِي, سأل",No Arabic definition; No examples
omw-arb-06715223-n,Synset,"شتْم, ذمّ, إِساءة",No Arabic definition; No examples
omw-arb-07125096-n,Synset,"شتْم, سبّ, تدْنِيس",No Arabic definition; No examples
omw-arb-00320536-v,Synset,"شوى, خَبَزَ",No Arabic definition; No examples
omw-arb-02157731-v,Synset,"شوّش, أخْفى, ضبّ",No Arabic definition; No examples
omw-arb-00306900-n,Synset,"شوْط, مرْحلة",No Arabic definition; No examples
omw-arb-15256915-n,Synset,"شوْط, فتْرة اللعِب",No Arabic definition; No examples
omw-arb-07486628-n,Synset,"شوْق, اِشْتِياق",No Arabic definition; No examples
