Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-00106921-r,r,"عادةً, بِشكْلٍ إِعْتِيادِيٍّ, بِشكْلٍ عادِي, غالِباً",4,"normally, usually, unremarkably, commonly, ordinarily",under normal conditions,en,,i18813,,,,
omw-arb-00505639-r,r,سببِيّا,1,causally,in a causal fashion,en,,i21679,,,,
omw-arb-00153681-r,r,"بِإِعْتِناء, بِاِهْتِمام, بِعِناية",3,"mindfully, heedfully, advertently",in a careful deliberate manner,en,,i19176,,,,
omw-arb-00138611-r,r,"على أغْلب الظّن, على الأرْجح, مِن المُحْتمل, مِن المُرجّح, مِن المُتوقّع, رُبّما",6,"probably, likely, in all likelihood, in all probability, belike",with considerable certainty; without much doubt,en,,i19060,,,,
omw-arb-00223859-r,r,بِعُنْف,1,violently,in a violent manner,en,,i19675,,,,
omw-arb-00080768-r,r,"بِحسب الإِتِّفاق, بِحسب العقْد, تعاقُدِيّاً",3,contractually,by virtue of a contract,en,,i18628,,,,
omw-arb-00025559-r,r,مكان ما,1,"somewhere, someplace",in or at or to some place,en,,i18290,,,,
omw-arb-00064361-r,r,لوْنِيّا,1,chromatically,with respect to color,en,,i18525,,,,
omw-arb-00129908-r,r,"على نحْوٍ بكْتِيْرِيّ, عن طرِيْقٍ الْبكْتِيْرْيا, عن طرِيْقٍ الجراثِيم, بكْتِيْرِيّاً, بِواسِطة البكْتِيْرْيا, جُرْثُوْمِيّاً",6,bacterially,by bacteria,en,,i18985,,,,
omw-arb-00411171-r,r,"عددِيّا, ",2,numerically,in number; with regard to numbers,en,,i20959,,,,
omw-arb-00304787-r,r,"طوال اليوْم, طُوِل اليوم",2,"daylong, all day long",during the entire day,en,,i20260,,,,
omw-arb-00336065-r,r,"كذِبا, خَطَأً, خِداعَا, زُورَاً",4,"falsely, incorrectly",in an incorrect manner,en,,i20455,,,,
