synset_id,words,definition,length
awn3-01813288-v,"سَيْطَرَ, تَجَاوَزَ",يؤثر عليه بقوة,14
awn3-01875972-v,دَفَعَ,يحرك بقوة,9
awn3-01980855-v,"سَقَطَ, وَقَعَ",يقع عمودياً,11
awn3-02019450-v,"تَرَكَ, غَادَرَ, خَرَجَ",يخرج من مكانه,13
awn3-02053645-v,"تَجَاوَزَ, تَخَطَّى",يسبقه ويتقدمه,13
awn3-02056400-v,مرّر,يجعله يمرّ,10
awn3-02079296-v,هَرَبَ,يغادر بسرعة,11
awn3-02120261-v,تَحَسَّسَ,يجعله يحس بشيء,14
awn3-02242867-v,حَصَلَ عَلَى,يصبح مالكاً ل,13
awn3-02250775-v,"بَاعَ, تَعَامَلَ, تَاجَر",يبيع,4
awn3-02270039-v,حَسَبَ,يحتفظ بسجل,10
awn3-02270824-v,وَفَّرَ,يوفر أو يحتفظ,13
awn3-02289796-v,"أَعَادَ دَفْع, رَدَّ, أَعَادَ",سدد المال,9
awn3-02296669-v,"أَنْتَجَ, حَصَّلَ, غَلَّ",يحصل المدخول,12
awn3-02339863-v,سَلَّحَ,يزود بالسلاح,12
awn3-02394734-v,إرْتَبَطَ,يقيم علاقات,11
awn3-02410046-v,أَخْرَجَ,يجعله يغادر,11
awn3-02413117-v,شَغَّلَ,يجعله يعمل,10
awn3-02420961-v,"شغل, شغل نفْسه, أشْغل",ينشغل بشيء ما,13
awn3-02424873-v,عَمِلَ,يقوم بعمل شاق,13
awn3-02505278-v,عَاقَبَ,يفرض عقوبة,10
awn3-02566500-v,قام ب,يفعل شيئاً,10
awn3-01414308-a,"مُحْتَمَل, مُتَوَقَّع",له فرصة الحدوث,14
awn3-01421158-a,"مُدْرَج, مُقَيَّد, مُسَجَّل",موضوع في قائمة,14
awn3-02781440-a,شَمَّيّ,ما يخص الشم,11
awn3-02872008-a,وِلادِي,متعلق بالولادة,14
awn3-02943394-a,قِيَاسِيّ,متعلق بالقياس,13
awn3-03024744-a,عَضَلاَنِيّ,شبيه بالعضلات,13
awn3-00148422-r,هَائِل,إلى درجة كبيرة,14
